Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brazil,BRA,Age dependency ratio (% of working-age population),SP.POP.DPND,87.66653600444252,88.30152161760701,88.7857974338502,89.02313100543441,88.9060094914562,88.50353250783407,87.92287242357058,87.1287521276382,86.1457321463522,85.03193899622786,83.85113909724512,82.6369629059398,81.399967461076,80.14845601425863,78.87358551517428,77.60552623754312,76.3847954363417,75.21579972234711,74.1122902169194,73.10891702582228,72.23511379848294,71.49848233315473,70.89411511955774,70.38081172133182,69.8826542101037,69.34384512272186,68.75292464761016,68.08816383445057,67.33118830327811,66.50696302077009,65.59368482818022,64.57858293049483,63.45944339923929,62.27921798376728,61.08358226451256,59.86836365702422,58.64819172419434,57.44016794710305,56.24827654087336,55.076398427295146,53.93203413425694,52.818301727681884,51.75324971328548,50.75000139380332,49.83206027103198,49.01296994180866,48.2684711339596,47.582612450775486,46.929592266804704,46.30616745701825,45.71872566880731,45.16099944077055,44.64290093562619,44.17511734795066,43.81837033220337,43.59359344499236,43.43981091236006,43.37133008841919,43.431652232320886,43.539748300108926,43.58606702744797,43.64046983933416,43.79026299407772,44.02909475898188
Brazil,BRA,Arable land (% of land area),AG.LND.ARBL.ZS,,2.826944750865623,2.890236344449842,2.953647581878265,3.016939175462483,3.0802307690467017,3.1435223626309203,3.206813956215139,3.270105549799357,3.3333971433835754,3.374674269634153,3.509034306675887,3.6433943437176217,3.777634736915151,3.911994773956885,4.046594098687029,4.375016451028578,4.703319159525924,5.031741511867473,5.360044220364818,5.688611102470166,5.80787112922253,5.927156041894489,6.046440954566447,6.165725867238405,6.330081453529135,6.196833266731593,6.063669668131904,5.930386425688012,5.797222827088324,5.663939584644431,5.530656342200537,5.397492743600849,5.264209501156956,5.1310459025572674,5.092400940879191,5.1614354389852295,5.230469937091266,5.299504435197305,5.368538933303343,5.437573431409381,5.506607929515418,5.575642427621457,5.644676925727494,5.713711423833533,5.78274592193957,5.852258995422426,5.926797110361875,6.001215581457118,6.075753696396567,6.150291811336015,6.224710282431259,6.299248397370707,6.373666868465951,6.448204983405399,6.522743098344846,6.597161569440091,6.671580040535334,6.668710024000555,6.665840007465776,6.662969990930996,6.660099974396218,6.657229957861438,
Brazil,BRA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6912309465412463,5.203740064214868,9.892835657100552,14.043487171350556,23.388226686852253,32.48611138656954,40.70244100231606,44.8012622606542,48.041049915268985,53.99103988858258,54.83530892110651,54.87814821425818,52.69629717776323,60.9726987652852,62.71130415237038,64.6753006353173,73.2292320880409,81.89083472715295,69.8856957749086,93.82109306307558,104.28053566745778,119.3632282845111,130.59527665941658,140.70649575022753,128.11905973921802,112.62273876184749,117.94208321488622,107.48347800409444,106.31888388656404,97.19451110538158,123.00738889660173,111.07356061958312,111.33354929273298
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,458.6794910987316,497.60952414683817,552.7822659308816,602.7709192173256,649.0548442562465,719.3139553358459,787.072161018197,856.731772998874,937.7025692362786,1012.3469214490024,1017.4902194334014,1052.4163223014746,1108.82899006216,1206.1161627315005,1280.7677227111758,1352.2763391868675,1366.040016287452,1417.667833997909,1448.2027026728167,1459.3891403298962,1485.4777076646203,1493.9094602570258,1538.1271764265164,1568.4110795814115,1637.2762882420686,1691.3196639840226,1768.1991273109793,1815.0308949258613,1839.6070932548075,1905.7710269774989,1756.8116083700234,1817.135401121919,1894.6290955430804,1970.4158655017447,2031.5060795389304,2089.1749853870638,2185.7487619351487,2249.3253594569514,2217.7900284866278,2398.773220270821,2458.558793438508,2532.110155304724,2601.931811195137,2655.0349242100338,,,,,,,,,
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,6.281813562167618,6.420216755176182,4.008478717722547,8.933145444011878,6.460996664973533,7.503164430591525,6.530203907579679,5.677192175423339,5.990874444079564,6.671565384187941,7.029425604988263,6.457220500387815,7.272113964079716,7.844873429025179,7.673127810881889,7.2180068263761745,7.01316307160746,7.245261155423662,6.692986079323971,7.240780048765684,8.962394873267469,9.622840370968415,7.900484525322583,12.24375556592912,15.03541253548775,12.948579096143758,9.217279070001268,9.828482027335514,11.667358547693098,8.929609671889008,8.1972364845005,8.677636598878678,10.868311660593474,10.50327165541441,9.51307642702004,7.528875038470733,6.730209683126849,6.983649575308945,7.030500338718067,9.5648982609794,10.188048004379477,12.37171066993,14.230590271377547,15.18078370868613,16.545761511935275,15.24382926726464,14.374316300300585,13.327675103099,13.534000512403503,10.85137113409795,10.865584774696485,11.582512678280828,11.877539069444792,11.742230645137996,11.0119428190539,12.900191417740489,12.466679044388808,12.518967870066856,14.634999495298567,14.122919190362168,16.453552010704378,19.109430367386576,19.63076500343705,18.110279421644243
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.45802056438394,70.0056543680771,69.55328817177028,69.10092197546344,68.64855577915661,68.19618958284977,67.74382338654293,67.2914571902361,66.83909099392928,66.38672479762245,65.93435860131561,65.46167089807062,64.98898319482565,64.51629549158065,64.04360778833569,63.5709200850907,63.09823238184572,62.62554467860074,62.15285697535576,61.68016927211079,61.2074815688658,61.023328156743005,60.839174744620216,60.65502133249742,60.47086792037463,60.28671450825184,60.07103255030426,59.832881478415054,59.70842795167346,59.55852617926956,59.41747805133678,59.27052749774471,59.12751188661593,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.600000000000136,6.599999999999923,0.6000000000000654,3.3999999999998494,2.4000000000000057,6.700000000000102,4.200000000000003,9.799999999999985,9.499999999999927,10.400000000000006,11.342921993190828,11.940348116250815,13.968721779678203,8.153938684572012,5.166649084063209,10.257129534786728,4.934328069789615,4.969897689247375,6.759560122040796,9.19999999999976,-4.24999999999956,0.8299999999995293,-2.929999999999964,5.399999999999878,7.850000000000421,7.489999999999824,3.5299999999998306,-0.059999999999917,3.1600000000003234,-4.350000000000222,1.032189585493029,-0.5440720497772702,4.924690003707099,5.852870362190132,4.22379363350413,2.2088640503902184,3.3948459863067058,0.3380979012073055,0.4679375664771328,4.38794944745618,1.389896400956374,3.053461859093119,1.1408289982488782,5.75996463670954,3.202132061304312,3.96198871122617,6.069870606783383,5.094195446587364,-0.1258120021611688,7.5282258181536434,3.974423079447021,1.9211759857653727,3.004822669444323,0.5039557402422474,-3.545763392694255,-3.275916907821923,1.3228690540439914,1.7836667616339952,1.2207778236084152,-3.276758796473601,4.762604379086085,3.0166943539301485,2.9084804866777745
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.66,53.183,53.71,54.209,54.648,55.084,55.473,55.868,56.31,56.748,57.171,57.586,58.032,58.472,58.881,59.353,59.792,60.24,60.72,61.253,61.781,62.333,62.856,63.331,63.773,64.198,64.64,65.08,65.454,65.868,65.985,66.31,66.708,67.109,67.568,67.919,68.409,68.813,69.189,69.524,69.737,70.195,70.41,70.72,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75,73.425,
Brazil,BRA,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.500518353297,94.6257525269118,94.4194397100922,95.2547067974728,95.4053399271653,94.1574958000878,93.5611340368994,92.9778363670604,92.9233437348484,90.0369268275195,89.4927058553782,84.2874450546105,85.7381730026528,87.1636031278562,86.0321122820058,87.1246275118911,86.7476516501048,88.2146796451509,84.2664236492775,88.9957757749597,84.7242338752678,87.1209969967485,82.4482831002635,76.6892081191253,73.0820738473312,73.9669080481113,,,,,,,,
Brazil,BRA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04751002788544,1.06198000907898,1.0096800327301,0.999390006065369,0.963429987430573,1.00246000289917,0.988070011138916,1.08138000965118,1.12904000282288,1.11865997314453,1.15991997718811,1.13966000080109,1.12683999538422,1.19567000865936,1.26970994472504,1.37092995643616,1.28637003898621,1.11749994754791,1.16769003868103,1.21096003055573,1.14525997638702,,,
